,사업자등록번호,기업접두명,기업명,기업접미명,기업영문명,업종,기업규모,공기업구분,개인법인구분,본점지점구분,국외투자법인여부,벤처기업여부,상장코드,산업코드차수,산업코드1,산업코드2,IND_CD3,공공기관유형,중견기업보호여부,본점기업코드,설립일자,설립구분,상장일자,주요사업내용,국가명,홈페이지URL,대표자명,직원수
0,1268145633,(주),용진테크,,"Yongjin Tech Co., Ltd.",M,2,2,1,1,N,N,,10.0,30391.0,,,0,N,,20000529.0,1,,자동차부품 제조판매업,,www.yongjintech.com,안상동,40.0
1,1388101749,,신구건설,(주),"SHINKU C0NSTRUCTION CO.,LTD.",M,2,2,1,1,N,N,,10.0,46610.0,,,0,N,,19850110.0,1,,건축자재 판매업,,www.shinku.co.kr,소재필,13.0
2,1068179240,(주),석정미디어,,sung jung,M,2,2,1,1,N,N,,10.0,46510.0,,,0,N,,19990601.0,1,,"토너, 잉크, 프린터 외 컴퓨터 관련 주변기기",,,이상호,1.0
3,2248114507,(주),새한실업,,"SAEHAN INDUSTRY CO.,LTD.",M,2,2,1,1,N,N,,10.0,25991.0,,,0,N,,19980522.0,1,,금속 캔 및 기타 포장용기 제조업,,,김정남외  1명,6.0
4,1168132785,(주),석영엔터프라이즈,,"Seokyoung Enterprise Co.,Ltd.",M,2,2,1,1,N,N,,10.0,24199.0,,,0,N,,19930226.0,1,,스마트트레이 외,,www.systeel.co.kr,박성진,40.0
5,6178132798,(주),남경엔지니어링토건,,NAMKYONG ENG & CONST. LTD.,M,2,2,1,1,N,N,,10.0,42121.0,,,0,N,,20010308.0,1,,"토공사, 철근콘크리트공사, 수중공사 외",,www.namkyongeng.co.kr,이규화,73.0
6,5108108828,,유일철강,(주),"Yuil Steel Co.,Ltd.",M,2,2,1,1,N,N,,10.0,46721.0,,,0,N,,19991008.0,1,,그외 기타 건축자재 도매업,,,박배일,10.0
7,1088530294,,한일물산(주)서울직매장,,"Hanil Moolsan Seoul Sales Co., Ltd.",M,2,2,1,2,N,N,,10.0,14112.0,,,0,N,1417071.0,19671023.0,1,,침구류섬유류의류내의-도소매,,,이순일외  1명,44.0
8,2208113826,(주),그렉스전자,,"GREKS ELECTRONICS CO.,LTD.",M,2,2,1,1,N,N,,10.0,28519.0,,,0,N,,19950803.0,1,,"진공청소시스템, 연도",,www.grex.co.kr,한승진,11.0
9,6068136800,(주),신한스틸,,"SINHAN STEEL CO.,LTD.",M,2,2,1,1,N,N,,10.0,46721.0,,,0,N,,19890922.0,1,,금속판  봉  관 및 유사 1차 금속제품 도매업,,www.sinhansteel.co.kr,최숙현외  1명,22.0
10,1378121397,(주),근유,,"KEUNYOO CO.,LTD.",M,2,2,1,1,N,N,,10.0,16221.0,,,0,N,,19981210.0,1,,"가구 및 장치물, 목제품류 제조업",,www.keunyoo.co.kr,김근중,26.0
11,1288149498,(주),하랑그룹,,Harang Group,M,2,2,1,1,N,N,,10.0,42412.0,33934.0,,0,N,,20000605.0,1,,"실내건축, 모형제작, 종합광고물제작 외",,,안철재,2.0
12,6108166244,(주),아이티스타,,"IT star CO., Ltd.",M,2,2,1,1,N,N,,10.0,58220.0,,,0,N,,20030520.0,1,,컴퓨터 소프트웨어 제작업,,www.itstar.co.kr,남원진,9.0
13,1308157841,(주),협진기계,,"Hyupjin Machinery Co., Ltd.",M,2,2,1,1,N,N,,10.0,29250.0,,,0,N,,19981126.0,1,,식품자동조리기계 육포 제조설비 빵가루 제조설비,,www.hjfm.co.kr,김종서,32.0
14,1338122962,,아이세로미림화학,(주),"AICELLO MILIM CHEMICALL CO.,LTD.",M,2,2,1,1,Y,N,,10.0,22232.0,,,0,N,,19950804.0,1,,산업 가정용 플라스틱 일반제조,일본,aicellomilim.com,임장욱,86.0
15,6038136382,(주),케이원목재,,"K-One Timber Co.,Ltd.",M,2,2,1,1,N,N,,10.0,46611.0,,,0,N,,19981020.0,1,,목재생산업체,,www.timbers.co.kr,정기훈,16.0
16,1138144865,,호연토건,(주),"HOYEON CONSTRUCTION & ENGINEERING CO.,LTD.",M,2,2,1,1,N,N,,10.0,42121.0,42132.0,42139.0,0,N,,19970811.0,1,,"토공 및 흙막이공사, 부대토목공사, 철근콘크리트공사 외",,www.hanamconst.com,박병국,49.0
17,5158102718,(주),경성섬유,,"Kyung Sung Textile Co., Ltd.",M,2,2,1,1,N,N,,10.0,13213.0,,,0,N,,19910101.0,1,,직물제조업,,,박정재,87.0
18,1218128624,,금강특수,(주),Keumkang Special,M,2,2,1,1,N,N,,10.0,49300.0,52999.0,47710.0,0,N,,19981209.0,1,,유류 및 GAS 운송 외,,,임재규,4.0
19,6018132997,(주),유진해운,,"Yoojin Shipping Co., Ltd",M,2,2,1,1,N,N,,10.0,50112.0,,,0,N,,19980205.0,1,,국내외 화물운송,,,장만,3.0
20,2158139237,(주),유레카,,"EUREKA Co., Ltd.",M,2,2,1,1,N,N,,10.0,15121.0,,,0,N,,19950103.0,1,,핸드백 외,,www.erk.co.kr,김영철,9.0
21,2068173696,(주),로젠솔루션,,"Logen Solution Co., Ltd.",M,2,2,1,1,N,N,,10.0,58200.0,,,0,N,,20020813.0,1,,물류정보시스템 및 솔루션,,www.logen.co.kr,이동명,29.0
22,1248627594,(주),세주상사,,THE SEJOO CORPORATION,M,2,2,1,1,N,N,,10.0,46712.0,,,0,N,,20020712.0,1,,가스기구 판매업,,,이영애,3.0
23,6178113544,,연우기술,(주),younwoo,M,2,2,1,1,N,N,,10.0,25110.0,,,0,N,,19940930.0,1,,"STS조립식연도, 스파이럴 닥트, 기계설비공사",,younwoo.net,김재문,10.0
24,1348106155,(주),현대특수나염,,"Hyundae Special Printing Co.,Ltd.",M,2,2,1,1,N,N,,10.0,13403.0,,,0,N,,19850710.0,1,,나염 제조업,,,최은호,65.0
25,6088135530,,삼양기전,(주),"Samyang System And Control Co., Ltd.",M,2,2,1,1,N,N,,10.0,28120.0,,,0,N,,19990825.0,1,,"전동기, 발전기 외",,www.sysco.co.kr,강병조,18.0
26,1198152117,(주),세아웰텍,,"seah welltec Co., Ltd.",M,2,2,1,1,N,N,,10.0,46539.0,46799.0,,0,N,,20011113.0,1,,"용접봉, 용접기 외",,,배영창,2.0
27,1148626453,(주),바우정보기술,,Bawoo Information Technology,M,2,2,1,1,N,N,,10.0,46510.0,,,0,N,,20030327.0,1,,프린터 및 소모품,,www.bawooit.com,김영필,8.0
28,6108146952,,동양전기산업,(주),"Dong Yang electronic industry Co.,Ltd.",M,2,2,1,1,N,N,,10.0,28123.0,,,0,N,,20001223.0,1,,수배전반,,www.dongyangin.com,안승규,27.0
29,5108106626,(주),성도,,Seongdo,M,2,2,1,1,N,N,,10.0,20202.0,,,0,N,,19970318.0,1,,합성수지 제조 및 판매업,,sungdofloor.co.kr,손병갑,45.0
30,1148173344,(주),다함넷,,"Dahaam Net Co.,Ltd.",M,2,2,1,1,N,N,,10.0,68112.0,,,0,N,,19960724.0,1,,"매출채권의 양수 및 관리, 팩토링 금융",,www.da-haam.com,안성수,3.0
31,6028121718,(주),푸른영도,,"Pureun Youngdo Co.,Ltd.",M,2,2,1,1,N,N,,10.0,37011.0,,,0,N,,20010719.0,1,,하수처리업,,,정명철,4.0
32,3048111219,,제일산업,(주),JEIL INDUSTRY,M,2,2,1,1,N,N,,10.0,46722.0,,,0,N,,20010319.0,1,,기타 건축자재 도매업,,,김기혁,14.0
33,5098102576,(주),한창산업,,"Hanchang Industry Co., Ltd.",M,2,2,1,1,N,N,,10.0,46612.0,,,0,N,,19960310.0,1,,골재 채취 및 판매업,,,김규한,0.0
34,6038132601,,대유철강,(주),"Daeyoo Steel Co.,Ltd.",M,2,2,1,1,N,N,,10.0,46721.0,,,0,N,,19970617.0,1,,철강재 도.소매업,,www.daeyoosteel.co.kr,백귀성,32.0
35,6098148907,(주),스피드넷,,SPEEDNET CABLE COMPANY,M,2,2,1,1,N,N,,10.0,42320.0,,,0,N,,20010719.0,1,,정보통신공사,,www.spdnet.co.kr,임성춘,31.0
36,6098143237,(주),타워정밀,,"Tower Precision Co., Ltd.",M,2,2,1,1,N,N,,10.0,30390.0,,,0,N,,20000721.0,1,,자동차부품 및 공작기계 제조,,,박용만,14.0
37,3038103040,(주),에스마크,,"SMARK CO., LTD",M,2,2,1,1,N,N,A030270,10.0,13101.0,,,0,N,,19860528.0,1,19970117.0,섬유 판매업,,www.s-mark.co.kr,김상진,2.0
38,1348117991,,한국건드릴,(주),"HAN KOOK GUNDRILL CO,LTD.",M,2,2,1,1,N,N,,10.0,29223.0,,,0,N,,19930925.0,1,,전착도장설비 기계의 제조 및 판매,,www.gundrill.co.kr,도정원,39.0
39,3058139281,(주),이앤비코리아,,"E & B KOREA CO.,LTD.",M,2,2,1,1,N,N,,10.0,20129.0,,,0,N,,20000718.0,1,,은나노 분말 및 페이스트 TiO2 용액 및 페이스트,,www.enbkorea.com,박정근,8.0
40,6058128739,(주),삼인실업,,SAMIN TRADING CO.,M,2,2,1,1,N,Y,,10.0,25920.0,,,0,N,,19980119.0,1,,금속 융단 및 유사절단 가공업,,,유인철,13.0
41,2148676874,(주),상현종합조경,,"Sanghyeon General Landscape Co., Ltd.",M,2,2,1,1,N,N,,10.0,41220.0,,,0,N,,20010216.0,1,,조경공사업,,,유현상,6.0
42,1028137777,(주),대왕제지,,"Daewang Paper co., Ltd.",M,2,2,1,1,N,N,,10.0,17902.0,,,0,N,,19930901.0,1,,주택 신축 매매,,,남동환외  1명,70.0
43,1208198883,(주),케이브랜즈,,K-BRANDS INC.,M,2,2,1,1,N,N,,10.0,46103.0,,,0,N,,20000128.0,1,,의복 및 의류잡화 가방 제조업,,www.kbrands.co.kr,엄진현,159.0
44,6098159893,,카바스,(주),"KAVAS Co., Ltd.",M,2,2,1,1,N,Y,,10.0,27302.0,,,0,N,,20030726.0,1,,정보기기(IT)부품 제조업,,www.kavas.co.kr,정종교,31.0
45,1288161100,(주),모투스,,"Motus Co., Ltd.",M,2,2,1,1,N,N,,10.0,33301.0,,,0,N,,19931104.0,1,,"런닝머신, 자전거 외",,www.motus.co.kr,신관식,12.0
46,1138172605,(주),에이치에이티,,"HAT CO.,LTD",M,2,2,1,1,N,N,,10.0,14410.0,,,0,N,,20011102.0,1,,"의류, 원단 및 부자재의 수출입업, 오파업, 도소매업 및 제조업",,www.hatlace.com,김봉석외  1명,10.0
47,1378113242,(주),도헌,,"DOHEON E&C.CO.,LTD",M,2,2,1,1,N,N,,10.0,42202.0,42204.0,,0,N,,19950714.0,1,,기계설비공사 외,,,김성일,23.0
48,2208648937,(주),쓰리윈이알피,,"Three Win ERP Co., Ltd.",M,2,2,1,1,N,N,,10.0,71530.0,,,0,N,,20021004.0,1,,"SAP 솔루션, ERP 컨설팅서비스 외",,www.3winerp.com,박진용,30.0
49,1218128420,(주),대성어패럴,,Daeseong Apparel,M,2,2,1,1,N,N,,10.0,14190.0,,,0,N,,19981101.0,1,,섬유피혁,,,심민자,20.0
50,2128152662,,정석건업,(주),jungsuk,M,2,2,1,1,N,N,,10.0,42000.0,,,0,N,,20010618.0,1,,"토공사, 비계구조물해체공사, 보링그라우팅공사",,,최도현,15.0
51,2018123639,(주),대성지류유통,,"Daesung Paper Marketing Co.,Ltd.",M,2,2,1,1,N,N,,10.0,46799.0,,,0,N,,19990201.0,1,,"지류 도,소매업",,www.daesungpaper.co.kr,권정택,8.0
52,5138105683,(주),에이스지앤월드,,ACE G & WORLD LTD.,M,2,2,1,1,N,N,,10.0,25112.0,,,0,N,,19911010.0,1,,지붕판금공사업,,www.acepanel.co.kr,오호융,66.0
53,4098178062,(주),청호에스엔지호남,,"Chungho SNG Honam Co., Ltd.",M,2,2,1,1,N,N,,10.0,46591.0,,,0,N,,20070313.0,1,,"사무, 회계 계산기기 유지",,,최일호,21.0
54,1068142253,(주),밀로텍,,"milloTek CO.,LTD.",M,2,2,1,1,N,N,,10.0,46595.0,,,0,N,,19930306.0,1,,전선용빅터 도매업,,www.millotek.com,최충식,7.0
55,2148140968,,동성특수종합물류,(주),"DONGSUNG HEAVY INDUSTRIAL CO.,LTD.",M,2,2,1,1,N,N,,10.0,49300.0,,,0,N,,20140519.0,1,,화물용역 운수업,,,이종삼,5.0
56,1208634394,(주),플랙트그룹코리아,,FlaktGroup Korea Ltd.,M,2,2,1,1,N,N,,10.0,29173.0,,,0,N,,20020305.0,1,,공기조화기,,www.flaktwoods.com,팡통치앙,55.0
57,1198106122,,한양철강,(주),HANYANG STEEL COPERATION,M,2,2,1,1,N,N,,10.0,30391.0,,,0,N,,19870101.0,1,,강관. 강판 도매업,,hanyang-steel.co.kr,김영준,66.0
58,1348609666,(주),신기정공,,"SINKI PRECISION CO.,LTD.",M,2,2,1,1,N,N,,10.0,29294.0,,,0,N,,20031218.0,1,,금형 제작업,,,남진우,17.0
59,2138639274,(주),돈우,,"Donu Co., Ltd",M,2,2,1,1,N,N,,10.0,46413.0,,,0,N,,19990602.0,1,,무역,,,송지은,3.0
60,1378154660,(주),데오테크,,"DEOTECH CO., LTD.",M,2,2,1,1,N,N,,10.0,20321.0,,,0,N,,20030702.0,1,,"살균제, 탈취제",,www.deotech.co.kr,서승훈,6.0
61,1238519056,(주),돌담,,"Dolldam Co.,Ltd.",M,2,2,1,2,N,N,,10.0,13992.0,,,0,N,1288278.0,19980622.0,1,,건축용 자제 제조업,,www.dolldam.co.kr,이주영,29.0
62,6038149645,(주),드올,,FINETEC COLD STORAGE CORP.,M,2,2,1,1,N,N,,10.0,46315.0,,,0,N,,20020501.0,1,,냉장 밀 냉동 창고업,,www.busan.finetec.co.kr,이순균,26.0
63,5158124726,,우진건설,(주),Woojin's Company,M,2,2,1,1,N,N,,10.0,41220.0,,,0,N,,20030821.0,1,,"토목,건축공사업",,woojinhome.co.kr,권준혁,5.0
64,6028116118,,에스엠에너지,(주),"SM Energy Co.,Ltd.",M,2,2,1,1,N,N,,10.0,46800.0,,,0,N,,20000103.0,1,,무역업,,,이희성,6.0
65,1188109432,(주),뜨레비디엔씨,,"TREVI DNC CO.,LTD.",M,2,2,1,1,N,N,,10.0,46690.0,,,0,N,,19940524.0,1,,"철구조물 제조,판매업",,,이상기,3.0
66,1308172954,(주),예강산업,,"Yegang Industry Co.,Ltd.",M,2,2,1,1,N,N,,10.0,28420.0,,,0,N,,20000810.0,1,,조명기구 설계 및 디자인 개발 및 제조 판매,,,함윤수,12.0
